,Origine,Destination,lat_Origine,lng_Origine,lat_Destination,lng_Destination,Pax_Total_2009,Fret_Total_2009,Pax_Total_2019,Fret_Total_2019
101,PARIS,TOULOUSE,48.85,2.35,43.63,1.37,2964620.0,3355.4,3216301.0,15115.0
92,PARIS,NICE,48.85,2.35,43.67,7.21,2970026.0,1162.7,3178806.0,1314.0
89,PARIS,MARSEILLE,48.85,2.35,43.44,5.21,1638329.0,1133.4,1558924.0,29183.0
78,PARIS,BORDEAUX,48.85,2.35,44.83,-0.8,1422807.0,777.4,1218505.0,6746.0
90,PARIS,MONTPELLIER,48.85,2.35,43.58,3.96,827427.0,468.6,989450.0,9934.0
88,PARIS,LYON,48.85,2.35,45.73,5.08,498627.0,1513.4,696318.0,9781.0
77,PARIS,BIARRITZ,48.85,2.35,43.47,-1.53,638615.0,0.6,631360.0,4.0
18,BORDEAUX,LYON,44.83,-0.8,45.73,5.08,431680.0,10.2,582186.0,1.0
50,LYON,NANTES,45.73,5.08,47.16,-1.61,250972.0,4.7,561037.0,0.0
79,PARIS,BREST,48.85,2.35,48.45,-4.42,460083.0,78.0,560930.0,381.0
72,PARIS,AJACCIO,48.85,2.35,41.92,8.8,522098.0,519.9,556737.0,234.0
91,PARIS,NANTES,48.85,2.35,47.16,-1.61,292004.0,129.8,550910.0,199.0
76,PARIS,BASTIA,48.85,2.35,42.55,9.48,447219.0,491.6,494353.0,229.0
93,PARIS,PAU,48.85,2.35,43.38,-0.42,508407.0,279.5,478837.0,4.0
57,LYON,TOULOUSE,45.73,5.08,43.63,1.37,383122.0,3492.6,428425.0,4076.0
19,BORDEAUX,MARSEILLE,44.83,-0.8,43.44,5.21,157902.0,11.0,426631.0,16.0
100,PARIS,TOULON,48.85,2.35,43.1,6.15,419534.0,0.2,392272.0,4.0
58,MARSEILLE,NANTES,43.44,5.21,47.16,-1.61,261045.0,1.2,362446.0,2.0
67,NANTES,TOULOUSE,47.16,-1.61,43.63,1.37,92508.0,28.6,316058.0,0.0
42,LILLE,NICE,50.56,3.09,43.67,7.21,106451.0,0.3,312722.0,0.0
83,PARIS,CLERMONT-FERRAND,48.85,2.35,45.79,3.16,241070.0,40.1,280684.0,11.0
65,NANTES,NICE,47.16,-1.61,43.67,7.21,98484.0,1.1,277577.0,0.0
21,BORDEAUX,NICE,44.83,-0.8,43.67,7.21,75459.0,0.4,270622.0,0.0
12,BASTIA,MARSEILLE,42.55,9.48,43.44,5.21,249318.0,3997.9,260000.0,2420.0
94,PARIS,PERPIGNAN,48.85,2.35,42.74,2.87,254668.0,1.0,254667.0,0.0
3,AJACCIO,MARSEILLE,41.92,8.8,43.44,5.21,264624.0,3693.1,253218.0,7026.0
84,PARIS,FIGARI,48.85,2.35,41.5,9.1,189410.0,0.4,236945.0,0.0
44,LILLE,TOULOUSE,50.56,3.09,43.63,1.37,91147.0,0.6,234307.0,1.0
17,BORDEAUX,LILLE,44.83,-0.8,50.56,3.09,60465.0,1.0,227815.0,1.0
75,PARIS,BALE-MULHOUSE,48.85,2.35,47.59,7.53,375161.0,7714.2,225675.0,11719.0
40,LILLE,MARSEILLE,50.56,3.09,43.44,5.21,296210.0,0.2,220535.0,7.0
51,LYON,NICE,45.73,5.08,43.67,7.21,151059.0,1.3,209563.0,0.0
153,NICE,BALE-MULHOUSE,,,,,,,186381.0,0.0
54,LYON,RENNES,45.73,5.08,48.07,-1.73,99750.0,16.4,179236.0,0.0
64,MONTPELLIER,NANTES,43.58,3.96,47.16,-1.61,59364.0,0.0,169162.0,0.0
23,BREST,LYON,48.45,-4.42,45.73,5.08,91612.0,21.0,166465.0,0.0
70,NICE,TOULOUSE,43.67,7.21,43.63,1.37,79330.0,0.2,161873.0,0.0
81,PARIS,CALVI,48.85,2.35,42.52,8.79,140920.0,12.0,155688.0,0.0
96,PARIS,RENNES,48.85,2.35,48.07,-1.73,89972.0,187.0,149007.0,767.0
104,STRASBOURG,TOULOUSE,48.54,7.63,43.63,1.37,77559.0,20.3,137569.0,0.0
125,BORDEAUX,BALE-MULHOUSE,,,,,,,137346.0,0.0
99,PARIS,TARBES,48.85,2.35,43.19,0.0,110099.0,0.3,134160.0,4.0
15,BIARRITZ,LYON,43.47,-1.53,45.73,5.08,111777.0,0.5,130620.0,0.0
22,BORDEAUX,STRASBOURG,44.83,-0.8,48.54,7.63,59186.0,1.0,129571.0,0.0
69,NICE,STRASBOURG,43.67,7.21,48.54,7.63,84801.0,0.2,125555.0,0.0
24,BREST,MARSEILLE,48.45,-4.42,43.44,5.21,93753.0,0.0,125173.0,3.0
